itemId,productName,productLink,offerLink,imageUrl,price,priceMax,sales,ratingStar,shopType,sellerCommissionRate,shopeeCommissionRate,subniches
15380596628,Kit Bolsa Maternidade Menino Luxo Paris Champanhe/Cacau/Marinho - 03 Peças,https://shopee.com.br/product/427251682/15380596628,https://s.shopee.com.br/80AabJjtGy,https://cf.shopee.com.br/file/br-11134207-820l9-mnvt7d924tfmdd,899.9,899.9,10,5.0,[2],0.45,0.03,"[""maternidade-bolsas-mochilas""]"
23998690284,Kit Carrinho Compacto Dobrável Bebê Desert Night Gb Pockit All terrain Bolsa,https://shopee.com.br/product/789987783/23998690284,https://s.shopee.com.br/7AbTo0tFbF,https://cf.shopee.com.br/file/sg-11134201-7rdxv-mbshptswxjcp0e,1699.9,1699.9,2,4.8,[2],0.22,0.03,"[""passeio-carrinhos""]"
42620629917,Carrinho Bebê Laguna Blue Gb Pockit+ All-terrain (0 a 15kg),https://shopee.com.br/product/789987783/42620629917,https://s.shopee.com.br/6pydPOuWHD,https://cf.shopee.com.br/file/sg-11134201-8259m-meyrhj1t80zp25,1249.9,1249.9,2,5.0,[2],0.22,0.03,"[""passeio-carrinhos""]"
17937584441,Kit Bolsa Mala Maternidade New York Cacau/Off - 06 Peças,https://shopee.com.br/product/427251682/17937584441,https://s.shopee.com.br/18JGhoV0Y,https://cf.shopee.com.br/file/br-11134207-7r98q-lmj2icebw4l3f4,1239.9,1239.9,2,5.0,[2],0.2,0.03,"[""maternidade-bolsas-mochilas""]"
56811315511,Babá Eletrônica Câmera Bebê Monitor See Pro Maxi Cosi Visão Noturna HD Wi-fi Áudio,https://shopee.com.br/product/318166823/56811315511,https://s.shopee.com.br/60PWS3hBTF,https://cf.shopee.com.br/file/br-11134207-820m1-mosf14k2oi6e46,1899.0,1899.0,4,5.0,[2],0.1,0.03,"[""quarto-monitoramento""]"
58251237042,Berço Portátil Mosquiteiro Berço portátil multifuncional móvel e dobrável para bebê Cinza 50kg P18,https://shopee.com.br/product/1166391508/58251237042,https://s.shopee.com.br/8V6rQXFazy,https://cf.shopee.com.br/file/br-11134207-81z1k-mhn18glkb7ra87,2000.0,2000.0,80,4.9,[2],0.08,0.03,"[""quarto-sono-mosquiteiros""]"
18099667389,Carrinho De Bebê Europeu Luxo 3 Em 1 Voyage com Mochila - Bebê Conforto e Base Isofix Veicular,https://shopee.com.br/product/844745891/18099667389,https://s.shopee.com.br/AKYVbQlCZa,https://cf.shopee.com.br/file/br-11134207-7r98o-m5d86ejvz3ci49,1790.0,1990.0,24,4.9,[2],0.09,0.03,"[""passeio-carrinhos""]"
58205161883,Carrinho de Bebê Galzerano Extreme Must + BB Conforto e Base Berço Moisés Passeio até 22kg,https://shopee.com.br/product/1735777943/58205161883,https://s.shopee.com.br/50WzE3it03,https://cf.shopee.com.br/file/br-11134207-81zu9-ml00lbqeud4xf3,1399.0,2099.0,6,4.8,[],0.12,0.03,"[""passeio-carrinhos""]"
23198836174,Cozinha Infantil Máquina de Lavar Madeira Rosa Brinquedo Faz de Conta Chef Pedagógico Montessori Kit Livro Educativo,https://shopee.com.br/product/763724888/23198836174,https://s.shopee.com.br/110qVJ3TQS,https://cf.shopee.com.br/file/br-11134207-81z1k-milsz8zpex3a0a,1597.5,1597.5,2,5.0,[1],0.1,0.03,"[""brinquedos-montessori""]"
18997795392,Cozinha Infantil Máquina de Lavar Madeira Brinquedo Faz de Conta Chef Pedagógico Montessori Criança Kit Livro Educativo,https://shopee.com.br/product/763724888/18997795392,https://s.shopee.com.br/9zvfDqVDAc,https://cf.shopee.com.br/file/br-11134207-81z1k-milt3jxmo0sme8,1597.5,1597.5,2,5.0,[1],0.1,0.03,"[""brinquedos-montessori""]"
